2026-04-02 15:54:27,084 | doc_id=3 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:54:34,840 | doc_id=6 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:36,995 | doc_id=7 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:38,757 | doc_id=8 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:40,802 | doc_id=9 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:42,079 | doc_id=10 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:54:43,274 | doc_id=11 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:46,745 | doc_id=12 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:48,881 | doc_id=13 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:51,004 | doc_id=14 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:52,385 | doc_id=15 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:53,801 | doc_id=16 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:54:57,441 | doc_id=17 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:54:58,973 | doc_id=18 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:00,481 | doc_id=19 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:01,935 | doc_id=20 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:55:03,788 | doc_id=21 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:07,512 | doc_id=22 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:09,008 | doc_id=23 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:10,405 | doc_id=24 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:12,677 | doc_id=25 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:13,854 | doc_id=26 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:15,486 | doc_id=27 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:16,109 | doc_id=28 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:17,567 | doc_id=29 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:19,109 | doc_id=30 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:20,522 | doc_id=31 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:23,991 | doc_id=32 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:55:28,583 | doc_id=34 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:30,397 | doc_id=35 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:36,729 | doc_id=38 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:55:38,608 | doc_id=39 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:55:40,258 | doc_id=40 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:42,246 | doc_id=41 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:45,597 | doc_id=42 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:55:47,407 | doc_id=43 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:48,962 | doc_id=44 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:50,179 | doc_id=45 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:51,777 | doc_id=46 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:55:53,485 | doc_id=47 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:54,896 | doc_id=48 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:56,542 | doc_id=49 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:58,224 | doc_id=50 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 15:55:59,691 | doc_id=51 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
